what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1386037567897
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1386037567897
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1386037567897
java.specification.name,sysinfo,,,"Java Platform API Specification",1386037567897
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386037567897
java.specification.version,sysinfo,,,"1.6",1386037567897
java.vendor,sysinfo,,,"Apple Inc.",1386037567897
java.version,sysinfo,,,"1.6.0_65",1386037567897
java.vm.info,sysinfo,,,"mixed mode",1386037567897
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1386037567897
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1386037567897
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386037567897
java.vm.specification.version,sysinfo,,,"1.0",1386037567897
java.vm.vendor,sysinfo,,,"Apple Inc.",1386037567897
java.vm.version,sysinfo,,,"20.65-b04-462",1386037567897
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386037583969
error,log,,,"",1386037637893
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386037638058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1386037638098
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1386037643222
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1386037643227
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1386037643388
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20100505,"org.eclipse.jdt.launching.macosx",1386037643402
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1386037645214
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1386037646195
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1386037646210
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1386037650211
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1386037653396
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1386037653803
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1386037653873
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1386037653937
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1386037654471
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1386037654475
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1386037654591
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1386037654639
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1386037654734
opened,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1386037655359
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1386037655476
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1386037655513
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1386037655611
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1386037655834
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1386037666507
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386037689584
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386037692109
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1386037694325
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1386037695257
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1386037700234
started,bundle,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms",1386037701602
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1386037701654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386037718450
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386037725066
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1386037748243
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1386037748333
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1386037748431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386037835584
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1386037860563
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1386037860590
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386037891724
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386037900970
error,log,,,"",1386037918664
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386037918868
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1386037918947
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1386037919702
