what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1386040029812
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040029893
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040032374
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1386040039092
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1386040041995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040047372
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040062512
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1386040062679
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040063281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040064161
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1386040071922
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040074355
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040076674
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040129966
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040130056
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040132066
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1386040132137
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040155979
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040156075
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040159634
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1386040159705
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386040162106
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386040164196
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040168614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040168695
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040172518
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1386040172590
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386040180714
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386040183323
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040186615
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040186700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040188954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1386040189035
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040200815
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040201921
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1386040201997
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040202807
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040203155
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1386040209949
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040234459
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040236920
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1386040280913
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1386040300809
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040426004
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040712156
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1386040712189
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040718512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040972159
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1386040974221
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1386040976443
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040984648
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040986615
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1386040986693
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040987576
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386040988041
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1386040993720
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041015026
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041082666
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041224208
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041338785
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041342195
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041428343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041447870
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041479302
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041494364
error,log,,,"",1386041520105
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041520436
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1386041520553
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1386041528083
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1386041528127
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1386041532531
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1386041535300
opened,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1386041536574
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1386041536634
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1386041541443
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1386041544569
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041547217
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041568923
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1386041569169
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041586536
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041586617
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041588458
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1386041588525
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1386041596726
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1386041598913
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1386041603265
